LIF SNN Neuron Firing Log — Foci
Parameters: tau_leaky=40us, v_thresh=0.8V
LIF Resolution: 15° per neuron
Date: 2026-03-30 05:02:22
======================================================================
  True Angle  Servo Pos  Fire Time (s)   Neuron Angle
           0         45       2.938481          180.0
           0         45       2.939750          195.0
           0         45       2.946885          195.0
           0         45       2.966718           45.0
           0         45       2.976229           60.0
           0         45       2.976229          210.0
           0         45       2.978881          165.0
           5         50       0.002079          180.0
           5         50       0.008948          165.0
           5         50       0.010508          210.0
           5         50       0.019126          180.0
           5         50       0.038614          210.0
           5         50       0.152512          180.0
           5         50       0.162371          180.0
           5         50       0.179625           90.0
           5         50       0.181485            0.0
           5         50       0.181485           15.0
           5         50       0.240878          165.0
           5         50       0.242022          195.0
           5         50       0.243190          135.0
           5         50       0.244332          210.0
           5         50       0.250126          180.0
           5         50       0.252424          195.0
           5         50       0.259424          150.0
           5         50       0.260540          195.0
           5         50       0.260540          210.0
           5         50       0.263977          225.0
           5         50       0.263977          240.0
           5         50       0.275807          120.0
           5         50       0.405746          180.0
           5         50       0.417735          180.0
           5         50       0.477461          180.0
           5         50       0.490581          165.0
           5         50       0.499234          180.0
           5         50       0.501198          195.0
           5         50       0.504789          180.0
           5         50       0.509590          180.0
           5         50       0.511510          195.0
           5         50       0.519868          180.0
           5         50       0.529200          180.0
           5         50       0.533977          165.0
           5         50       0.538836          180.0
           5         50       0.550434          195.0
           5         50       0.556079          180.0
           5         50       0.557461          195.0
           5         50       0.564829          180.0
           5         50       0.573043          180.0
           5         50       0.574084          195.0
           5         50       0.575484          180.0
           5         50       0.580833          180.0
           5         50       0.589106          180.0
           5         50       0.594495          165.0
           5         50       0.597032          180.0
           5         50       0.604938          180.0
           5         50       0.606358          165.0
           5         50       0.687762          180.0
           5         50       0.688830          150.0
           5         50       0.693640          180.0
           5         50       0.695028          195.0
           5         50       0.696090          165.0
           5         50       0.701329          180.0
           5         50       0.702711          195.0
           5         50       0.703738          180.0
           5         50       0.705176          165.0
           5         50       0.709344          180.0
           5         50       0.710731          195.0
           5         50       0.713124          195.0
           5         50       0.717887          180.0
           5         50       0.725989          180.0
           5         50       0.727411          165.0
           5         50       0.732528          180.0
           5         50       0.735914          180.0
           5         50       0.736981          165.0
           5         50       0.743577          165.0
           5         50       0.744586          180.0
           5         50       0.747145          135.0
           5         50       0.752799          210.0
           5         50       0.756747          135.0
           5         50       0.765133          210.0
           5         50       0.767086          180.0
           5         50       0.776793            0.0
           5         50       0.785191          180.0
           5         50       1.489383          180.0
           5         50       1.490713          165.0
           5         50       1.497825          180.0
           5         50       1.505047          180.0
           5         50       1.514730            0.0
           5         50       1.523602          180.0
           5         50       1.524948          165.0
           5         50       1.526601          180.0
           5         50       1.596629            0.0
           5         50       1.613804          180.0
           5         50       1.623559          180.0
           5         50       1.624622          165.0
           5         50       1.634164          180.0
           5         50       1.637155          165.0
           5         50       1.646311          165.0
           5         50       1.658459          165.0
           5         50       1.665586          180.0
