LIF SNN Neuron Firing Log — Foci
Parameters: tau_leaky=58us, v_thresh=1.2V
LIF Resolution: 15° per neuron
Date: 2026-03-30 08:02:28
======================================================================
  True Angle  Servo Pos  Fire Time (s)   Neuron Angle
          45         90       1.789184          135.0
          45         90       1.798439          135.0
          45         90       1.804698          135.0
          45         90       1.812472          135.0
          45         90       1.820264          135.0
          45         90       1.828043          135.0
          45         90       1.906452          135.0
          45         90       1.925248          150.0
          45         90       1.967268          135.0
          45         90       2.197862          135.0
          45         90       2.204993          135.0
          45         90       2.222415          135.0
          45         90       2.231110          135.0
          45         90       2.452632          135.0
          45         90       2.718536          135.0
          45         90       2.782956          135.0
          45         90       2.908962          135.0
          45         90       2.917749          135.0
          45         90       2.993045          150.0
          50         95       0.030276          135.0
          50         95       0.042638          135.0
          50         95       0.059021          135.0
          50         95       0.094018          135.0
          50         95       0.244335          135.0
          50         95       0.250393          135.0
          50         95       0.290009          135.0
          50         95       0.313011          135.0
          50         95       0.469310          135.0
          50         95       0.549413          135.0
          50         95       0.603182          135.0
          50         95       0.929243          135.0
          50         95       0.935461          135.0
          50         95       1.188233          135.0
          50         95       1.200905          135.0
          50         95       1.209501          135.0
          50         95       1.213442          135.0
          50         95       1.627397          135.0
          50         95       2.296565          135.0
          55        100       0.289263          135.0
          55        100       0.432378          135.0
          55        100       1.210997          135.0
          55        100       1.223014          135.0
          55        100       1.466001          135.0
          55        100       2.415923          135.0
          55        100       2.426722          135.0
          55        100       2.449706          135.0
          55        100       2.469727          120.0
          55        100       2.480240          120.0
          55        100       2.809858          135.0
          55        100       2.818514          135.0
          55        100       2.840868          135.0
          55        100       2.842708          120.0
          60        105       0.416422          120.0
          60        105       0.543147          135.0
          60        105       0.644176          120.0
          60        105       0.656118          120.0
          60        105       0.894745          135.0
          60        105       0.996565          120.0
          60        105       1.174053          120.0
          60        105       1.417822          120.0
          60        105       1.674883          120.0
          60        105       1.742468          135.0
          60        105       1.782387          120.0
          60        105       1.814459          120.0
          60        105       2.140120          135.0
          60        105       2.145735          135.0
          60        105       2.268453          120.0
          60        105       2.837200          120.0
          60        105       2.963030          135.0
          65        110       1.171000          120.0
          65        110       1.177158          120.0
          65        110       1.279955          120.0
          65        110       1.352793          120.0
          65        110       1.691404          120.0
          65        110       1.730770          120.0
          65        110       1.787860          120.0
          65        110       1.802490          120.0
          65        110       1.835271          120.0
          65        110       1.934246          120.0
          65        110       1.988873          120.0
          65        110       2.035283          120.0
          65        110       2.051135          120.0
          65        110       2.183197          120.0
          65        110       2.198051          120.0
          65        110       2.334916          120.0
          65        110       2.348133          120.0
          65        110       2.369344          120.0
          65        110       2.431373          120.0
          65        110       2.441854          120.0
          65        110       2.767271          120.0
          65        110       2.896700          120.0
          65        110       2.922180          120.0
          70        115       0.368877          120.0
          70        115       0.631459          120.0
          70        115       0.663149          120.0
          70        115       0.756110          105.0
          70        115       0.871334          120.0
          70        115       0.904213          120.0
          70        115       1.140024          120.0
          70        115       1.149942          120.0
          70        115       1.414026          120.0
          70        115       1.441428          120.0
          70        115       1.447793           90.0
          70        115       1.527131          120.0
          70        115       2.062221          120.0
          70        115       2.082045          120.0
          70        115       2.146260          120.0
          70        115       2.233522          120.0
          70        115       2.640526          120.0
          70        115       2.820037          120.0
          70        115       2.828186          120.0
          70        115       2.856584          120.0
          70        115       2.958463          120.0
          70        115       2.968248          120.0
          75        120       0.290793          105.0
          75        120       0.438232          120.0
