dataset,scenario,A,omega,phi,C,period_deg,fit_rmse_deg,dropped_points
session_20260521_005414_recordings_voice,2_pairs_opposite,2.578954798685574,0.0698131700797732,3.025109275311897,4.2078804340560065,89.99999999999999,1.1279855507610306,0
session_20260521_005414_recordings_voice,4_pairs_perimeter,1.6891405651316649,0.07126196168775618,-0.6834319395629137,4.509155944998625,88.17025462630686,1.4574335338421702,0
session_20260517_161547_recordings,2_pairs_opposite,1.3554795340392243,0.0764676605924819,7.238851801579077,2.589018517460561,82.16787670103422,1.0764235511381826,0
session_20260517_161547_recordings,4_pairs_perimeter,1.4485423469104315,0.0698131700797732,-0.5363512007884277,2.3152777767099866,89.99999999999999,1.0304414986665396,0
